qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
ce5bfc90086c11ebbd61ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.5566,0.5,221.0,0.5,0.0
f893967608a811ebbd7fac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.2963,1.0,216.0,1.0,1.0
346a41b4084e11ebbd56ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2036,0.5,221.0,0.5,0.0
bcbd76e608a111ebbd79ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4798,0.5,223.0,0.5,0.0
f26542c808c511ebbd8fac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.372,0.5,207.0,0.5,0.0
5b1e1f240bdc11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.1517,0.5,211.0,0.5,0.0
b146f47c0bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3791,0.5,211.0,1.0,1.0
9c996f860bdb11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3796,0.5,216.0,1.0,1.0
f491b33e0bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.219,0.5,210.0,0.5,0.0
21d2a107091911ebbdaeac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.1642,0.5,201.0,1.0,1.0
10e63c10087211ebbd64ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4091,0.5,220.0,0.5,0.0
5c7ce15a0bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.5,0.285,0.5,193.0,0.5,0.0
b0e112940bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1193,0.5,218.0,0.5,0.0
e6a74e020bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1408,0.5,213.0,0.5,0.0
0963c8b80bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2258,0.5,217.0,0.5,0.0
09beb233086d11ebbd61ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.451,1.0,204.0,1.0,1.0
963fffd60bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3059,1.0,219.0,1.0,1.0
f0d6f50c08eb11ebbda7ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.5,0.1238,0.5,202.0,1.0,1.0
33d1a6d60bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.3884,1.0,224.0,1.0,1.0
f31afa16094511ebbdaeac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3052,1.0,213.0,1.0,1.0
3654974a08df11ebbda0ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3687,0.5,198.0,0.75,0.0
2d2fdefe085311ebbd59ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4155,1.0,219.0,1.0,1.0
7a01a52a089c11ebbd78ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.2968,0.5,219.0,0.5,0.0
d8a00ed40bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.2009,0.5,224.0,0.5,0.0
c37f944e08e611ebbda5ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.4732,1.0,205.0,1.0,1.0
b670607d08b611ebbd88ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.7561,0.75,205.0,0.75,0.0
62a0531e0bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2233,0.5,215.0,0.5,0.0
03f2846e0bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.5,0.0,0.6,0.4206,1.0,214.0,1.0,1.0
98da1bb608d411ebbd96ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5928,0.75,221.0,0.75,0.0
bb792556091811ebbdaeac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,0.0,0.6667,0.3465,1.0,202.0,1.0,1.0
46e99a3d094111ebbdaeac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2036,1.0,221.0,1.0,1.0
2f6aa3ba0bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.2222,0.0,0.6,0.4484,1.0,223.0,1.0,1.0
41b295500bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4837,1.0,215.0,1.0,1.0
132a5430085d11ebbd5cac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.5388,1.0,219.0,1.0,1.0
08e7eb340bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1366,0.5,205.0,0.5,0.0
91ec5b380bdc11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1856,0.5,194.0,0.5,0.0
bf5c81fa0bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1878,0.5,213.0,0.5,0.0
cf9a08f608c911ebbd92ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.25,0.371,0.5,221.0,0.5,0.0
0e5e54c908c211ebbd8bac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.5646,1.0,209.0,1.0,1.0
af1ee605093511ebbdaeac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3128,1.0,195.0,1.0,1.0
3e0cebde0bd911eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1451,0.5,193.0,0.5,0.0
0518615a0bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.5662,1.0,219.0,1.0,1.0
3d22de280bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.2222,0.0,0.5,0.1689,0.5,219.0,0.5,0.0
b6afbad60bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.53,1.0,217.0,1.0,1.0
0b91d3200bdb11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1789,0.5,218.0,0.5,0.0
1621c01108f011ebbda8ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4689,1.0,209.0,1.0,1.0
8b5f752e0bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.0558,0.5,215.0,0.5,0.0
5e02b99208b811ebbd88ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3113,0.5,212.0,0.5,0.0
a809d3720bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2192,0.5,219.0,0.5,0.0
ade9a5980baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.274,1.0,219.0,1.0,1.0
8012a1e008af11ebbd83ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.4203,0.5,207.0,0.5,0.0
d19a4bb80bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.2581,0.5,217.0,0.5,0.0
b6b306fa0bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.5,0.1553,0.5,206.0,0.5,0.0
d71f453b085811ebbd5bac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.4131,0.5,213.0,0.5,0.0
2de71a8a0bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.4194,0.5,217.0,0.5,0.0
cee7790e08cc11ebbd93ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.4974,0.5,195.0,0.5,0.0
623ea4080bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.5714,0.0,0.0,187.0,0.5,0.0
8d9bf1c80bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.25,0.0,0.5,0.3122,0.5,189.0,0.5,0.0
572c3827088311ebbd6dac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.5,0.4402,0.5,209.0,0.5,0.0
b1e64cc60bd911eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2757,0.5,214.0,1.0,1.0
0b9a520108c211ebbd8bac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.5642,0.5,218.0,0.5,0.0
04e9521d088b11ebbd6fac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3636,1.0,220.0,1.0,1.0
8522d9b2092011ebbdaeac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4658,1.0,219.0,1.0,1.0
ec697d900bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2679,0.5,224.0,0.5,0.0
950bd11a090f11ebbdadac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.4,1.0,220.0,1.0,1.0
c1b9c0ac0bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.5,0.0,0.3333,0.3665,0.5,221.0,0.5,0.0
d2c47e1008df11ebbda1ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2067,0.5,208.0,0.5,0.0
7b2bf8fc0bd911eba7f7acde48001122,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.7919,1.0,197.0,1.0,1.0
b5ccab240bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.293,0.5,215.0,0.5,0.0
6a70f6f80bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1946,0.5,221.0,0.5,0.0
1f9e4658084f11ebbd56ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3028,0.5,218.0,0.5,0.0
5caef2f8096411ebbdafac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3194,1.0,216.0,1.0,1.0
b081e08408e111ebbda3ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.371,0.5,221.0,0.5,0.0
f113f24e08ad11ebbd83ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3198,0.75,222.0,0.75,0.0
a6d397ea0bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.213,0.5,216.0,0.5,0.0
04a065a60bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2851,0.5,221.0,0.5,0.0
534fbfd00bd911eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.6667,1.0,1.0,0.4682,1.0,220.0,1.0,1.0
286461f808ba11ebbd88ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4953,1.0,214.0,1.0,1.0
2fa40dae0bdc11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.0977,0.5,215.0,0.5,0.0
a19ca5c80bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3636,0.5,220.0,0.5,0.0
6a807fc40bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.6,0.3364,0.5,217.0,0.5,0.0
1118315c0bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1991,0.5,221.0,0.5,0.0
185a906e0bdc11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.5,0.1095,0.5,210.0,0.5,0.0
77f4e0140bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1902,0.5,205.0,0.5,0.0
2a98df6408d111ebbd95ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.4929,1.0,211.0,1.0,1.0
025359200bde11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2387,0.5,222.0,0.5,0.0
bd34477e0baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.4444,0.0,0.8333,0.2244,0.5,205.0,1.0,1.0
6a8a71280bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.5,1.0,1.0,0.4773,1.0,220.0,1.0,1.0
ef9cbeca0bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.5,1.0,1.0,0.375,1.0,224.0,1.0,1.0
c218a802090711ebbdadac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,0.0,0.0,0.6849,1.0,219.0,1.0,1.0
f94832c408b811ebbd88ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.509,0.5,222.0,0.5,0.0
8d2382e0085811ebbd5aac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.2892,1.0,204.0,1.0,1.0
86fb31260bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5182,1.0,220.0,1.0,1.0
18c0ccb1086911ebbd5eac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3196,1.0,219.0,1.0,1.0
e6f8d00a089611ebbd76ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.36,1.0,200.0,1.0,1.0
8919fb50085311ebbd59ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,1.0,0.3116,1.0,215.0,1.0,1.0
d5a61878086b11ebbd60ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.338,1.0,213.0,1.0,1.0
f6973183085a11ebbd5cac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4605,0.5,215.0,0.5,0.0
fc031d360baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.2,0.156,0.5,218.0,0.5,0.0
e5c738900bdc11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2227,0.5,220.0,0.5,0.0
6b466508097711ebbdb0ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2273,0.5,220.0,1.0,1.0
46bd0bd6087511ebbd67ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.6457,0.5,223.0,0.5,0.0
d1bdbdbe087711ebbd67ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.7072,0.75,222.0,0.75,0.0
6152f66c08df11ebbda0ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4977,0.5,219.0,0.5,0.0
98a3e5e9089111ebbd73ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.1636,0.5,220.0,0.5,0.0
6946f8d20baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.2222,0.0,0.3333,0.2913,0.5,206.0,0.5,0.0
3d4662300bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.6667,1.0,1.0,0.1307,0.5,199.0,0.5,0.0
c504923408fe11ebbdadac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3641,1.0,217.0,1.0,1.0
922a629c0bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.6,0.0,0.6,0.2296,0.5,196.0,0.5,0.0
0e967bac08a711ebbd7fac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4205,0.5,195.0,0.5,0.0
c1aa9b640bdc11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2067,0.5,208.0,1.0,1.0
dba424900baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.1495,0.5,214.0,0.5,0.0
f4cc9d4908b311ebbd86ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.3056,0.5,216.0,0.5,0.0
6b850e0e0baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.3333,1.0,1.0,0.4369,1.0,222.0,1.0,1.0
abce7ee208b111ebbd85ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4874,0.5,199.0,0.5,0.0
6615041e0bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.2556,0.5,223.0,0.5,0.0
dc4754a80bdc11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.2823,0.5,209.0,0.5,0.0
6bd86dd4087f11ebbd6bac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3239,0.5,213.0,0.5,0.0
98ab6cfe08c411ebbd8eac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.5399,0.5,213.0,0.5,0.0
c30b9f8108b211ebbd85ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,0.0,0.5,0.5123,1.0,203.0,1.0,1.0
49e0153808ac11ebbd82ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5113,0.5,221.0,0.5,0.0
2fcc3e3e0bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.5385,1.0,208.0,1.0,1.0
8a6610400bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.1918,0.5,219.0,0.5,0.0
e172d3b20baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3502,1.0,217.0,1.0,1.0
c365be0608ae11ebbd83ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.5545,1.0,220.0,1.0,1.0
a9406286088d11ebbd70ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.346,0.5,211.0,0.5,0.0
6b84004a0baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.2222,0.0,0.4,0.2009,0.5,224.0,0.5,0.0
caa0a77908ac11ebbd83ac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3846,0.5,208.0,0.5,0.0
63a51a37096711ebbdafac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.3876,1.0,129.0,1.0,1.0
647eba07088f11ebbd72ac1f6bf848b6,chunk_packed_224,chunk,packed,0.0,0.0,1.0,1.0,0.5561,1.0,214.0,1.0,1.0
6e765ee508f611ebbdaaac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.4241,1.0,191.0,1.0,1.0
dc6e054e0baf11ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.5,0.0,0.0,215.0,0.5,0.0
5c82bfe20bdb11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.3333,0.3041,0.5,217.0,1.0,1.0
47a59362091411ebbdadac1f6bf848b6,chunk_packed_224,chunk,packed,1.0,1.0,1.0,1.0,0.2081,1.0,221.0,1.0,1.0
5bab48ec0bda11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.3925,0.5,214.0,0.5,0.0
d3c779240bdd11eba7f7acde48001122,chunk_packed_224,chunk,packed,0.0,0.0,0.0,0.0,0.4392,1.0,189.0,1.0,1.0
57e0ae020bb011ebab90acde48001122,chunk_packed_224,chunk,packed,0.0,0.6154,0.0,0.7143,0.296,1.0,223.0,1.0,1.0
