qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5,ans_in_context_nli
expertqa_60,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1333,1.0,0.1333,153.0,0.3333,0.0,0.1004
expertqa_1034,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2533,1.0,0.4,159.0,0.6,0.0,0.001
expertqa_1401,chunk_packed_160,chunk,packed,0.0,0.1466,0.0,0.2973,0.4684,1.0,158.0,1.0,1.0,0.0822
expertqa_1974,chunk_packed_160,chunk,packed,0.0,0.0325,0.0,0.2651,0.4839,0.3333,155.0,1.0,1.0,0.8669
expertqa_494,chunk_packed_160,chunk,packed,0.0,0.0857,0.0,0.6222,0.3962,0.5,159.0,0.5,0.0,0.9545
expertqa_740,chunk_packed_160,chunk,packed,0.0,0.0241,0.0,0.1845,0.6306,0.6667,157.0,1.0,1.0,0.0005
expertqa_1027,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2838,0.443,0.5,158.0,1.0,1.0,0.0009
expertqa_1661,chunk_packed_160,chunk,packed,0.0,0.0154,0.0,0.1647,0.0,0.0,153.0,1.0,1.0,0.076
expertqa_822,chunk_packed_160,chunk,packed,0.0,0.0408,0.0,0.25,0.539,0.6667,154.0,0.6667,0.0,0.0015
expertqa_533,chunk_packed_160,chunk,packed,0.0,0.0267,0.0,0.319,1.0,0.4,137.0,1.0,1.0,0.0086
expertqa_1047,chunk_packed_160,chunk,packed,0.0,0.0126,0.0,0.25,1.0,0.6667,144.0,1.0,1.0,0.0557
expertqa_168,chunk_packed_160,chunk,packed,0.0,0.0143,0.0,0.2117,1.0,0.1538,132.0,0.3846,0.0,0.0114
expertqa_1996,chunk_packed_160,chunk,packed,0.0,0.0118,0.0,0.4731,1.0,0.25,159.0,0.625,0.0,0.7609
expertqa_1872,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2432,0.0,0.0,155.0,1.0,1.0,0.0063
expertqa_1090,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3934,0.4873,0.4,158.0,0.8,0.0,0.0213
expertqa_86,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2239,0.6711,0.5,152.0,1.0,1.0,0.006
expertqa_589,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.275,0.5125,1.0,160.0,1.0,1.0,0.0447
expertqa_1237,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2,0.5894,0.3333,151.0,1.0,1.0,0.0006
expertqa_1792,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2692,0.1709,0.5,158.0,0.5,0.0,0.0005
expertqa_1821,chunk_packed_160,chunk,packed,0.0,0.0395,0.0,0.2062,1.0,0.5,138.0,1.0,1.0,0.5356
expertqa_409,chunk_packed_160,chunk,packed,0.0,0.0241,0.0,0.3393,1.0,0.6667,141.0,1.0,1.0,0.0043
expertqa_728,chunk_packed_160,chunk,packed,0.0,0.036,0.0,0.2317,0.4313,0.5,160.0,0.5,0.0,0.0019
expertqa_66,chunk_packed_160,chunk,packed,0.0,0.0456,0.0,0.1553,0.981,0.25,158.0,0.5,0.0,0.0024
expertqa_944,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2612,1.0,0.5,137.0,1.0,1.0,0.8285
expertqa_1407,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2,0.4516,0.5,155.0,1.0,1.0,0.0007
expertqa_1886,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1273,0.0375,0.3333,160.0,0.6667,0.0,0.001
expertqa_1810,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1695,0.3933,0.1,150.0,0.2,0.0,0.0006
expertqa_70,chunk_packed_160,chunk,packed,0.0,0.02,0.0,0.2389,1.0,0.5,155.0,1.0,1.0,0.1388
expertqa_543,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2308,0.5833,0.5,156.0,1.0,1.0,0.0185
expertqa_897,chunk_packed_160,chunk,packed,0.0,0.0887,0.0,0.3571,1.0,0.4,154.0,0.6,0.0,0.1165
expertqa_1732,chunk_packed_160,chunk,packed,0.0,0.01,0.0,0.3304,1.0,1.0,138.0,1.0,1.0,0.3407
expertqa_2030,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3929,1.0,0.6,158.0,1.0,1.0,0.0116
expertqa_2027,chunk_packed_160,chunk,packed,0.0,0.018,0.0,0.1977,1.0,0.3333,139.0,0.8333,0.0,0.0011
expertqa_226,chunk_packed_160,chunk,packed,0.0,0.035,0.0,0.1872,0.4966,0.5,147.0,0.75,0.0,0.0061
expertqa_690,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1758,0.0,0.0,152.0,1.0,1.0,0.0012
expertqa_1660,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1373,0.4654,0.1667,159.0,0.1667,0.0,0.0017
expertqa_1155,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2027,0.2994,0.3333,157.0,0.3333,0.0,0.0202
expertqa_584,chunk_packed_160,chunk,packed,0.0,0.0317,0.0,0.2841,1.0,0.75,152.0,0.75,0.0,0.3264
expertqa_787,chunk_packed_160,chunk,packed,0.0,0.1132,0.0,0.25,1.0,0.2857,159.0,0.7143,0.0,0.2952
expertqa_1686,chunk_packed_160,chunk,packed,0.0,0.1205,0.0,0.2796,1.0,0.6667,148.0,1.0,1.0,0.8203
expertqa_1647,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1552,0.0,0.0,144.0,0.0,0.0,0.0013
expertqa_1271,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2231,0.1384,0.2,159.0,0.6,0.0,0.0251
expertqa_1579,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2381,0.3379,0.25,145.0,1.0,1.0,0.0012
expertqa_1651,chunk_packed_160,chunk,packed,0.0,0.1121,0.0,0.3108,1.0,0.6667,154.0,1.0,1.0,0.8277
expertqa_1409,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1782,0.0,0.0,155.0,0.25,0.0,0.0025
expertqa_1098,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1831,0.6536,0.25,153.0,0.5,0.0,0.0006
expertqa_1205,chunk_packed_160,chunk,packed,0.0,0.0237,0.0,0.1875,0.4313,0.1429,160.0,0.5714,0.0,0.973
expertqa_857,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2436,1.0,0.6,157.0,1.0,1.0,0.0028
expertqa_1156,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3735,1.0,0.5,151.0,0.75,0.0,0.0593
expertqa_490,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1538,0.0,0.0,145.0,1.0,1.0,0.9146
expertqa_1948,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1333,0.1562,0.3333,160.0,0.6667,0.0,0.0003
expertqa_2010,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1092,0.0,0.0,156.0,0.2222,0.0,0.0031
expertqa_1456,chunk_packed_160,chunk,packed,0.0,0.04,0.0,0.25,0.0,0.0,155.0,1.0,1.0,0.0009
expertqa_206,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1515,0.0943,0.1111,159.0,0.2222,0.0,0.004
expertqa_1146,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2121,0.5375,1.0,160.0,1.0,1.0,0.0876
expertqa_573,chunk_packed_160,chunk,packed,0.0,0.0914,0.0,0.3109,1.0,0.5,148.0,1.0,1.0,0.6133
expertqa_218,chunk_packed_160,chunk,packed,0.0,0.0182,0.0,0.4,1.0,0.5,160.0,0.6667,0.0,0.9757
expertqa_314,chunk_packed_160,chunk,packed,0.0,0.064,0.0,0.1446,0.5548,0.5,155.0,1.0,1.0,0.0009
expertqa_1580,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5806,1.0,0.6667,155.0,1.0,1.0,0.0527
expertqa_1010,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1538,0.0,0.0,159.0,1.0,1.0,0.0074
expertqa_909,chunk_packed_160,chunk,packed,0.0,0.0147,0.0,0.31,1.0,0.5,151.0,0.75,0.0,0.0062
expertqa_1079,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2949,0.48,0.3333,150.0,1.0,1.0,0.0017
expertqa_1381,chunk_packed_160,chunk,packed,0.0,0.0213,0.0,0.2687,0.0,0.0,158.0,0.3333,0.0,0.0017
expertqa_203,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.186,0.575,0.5,160.0,1.0,1.0,0.0004
expertqa_467,chunk_packed_160,chunk,packed,0.0,0.0261,0.0,0.2178,1.0,0.5,158.0,1.0,1.0,0.0062
expertqa_220,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5385,0.4667,1.0,150.0,1.0,1.0,0.0007
expertqa_1359,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2737,0.5031,0.3333,159.0,1.0,1.0,0.0929
expertqa_1629,chunk_packed_160,chunk,packed,0.0,0.046,0.0,0.3708,1.0,0.5,129.0,1.0,1.0,0.1517
expertqa_1674,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2203,0.0,0.0,142.0,0.6667,0.0,0.001
expertqa_977,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.234,0.3438,1.0,160.0,1.0,1.0,0.0002
expertqa_922,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3516,0.4875,0.5,160.0,1.0,1.0,0.4281
expertqa_130,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2536,0.4054,0.25,148.0,0.75,0.0,0.0145
expertqa_1774,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1458,0.0,0.0,144.0,1.0,1.0,0.0006
expertqa_1806,chunk_packed_160,chunk,packed,0.0,0.0952,0.0,0.434,1.0,0.75,158.0,1.0,1.0,0.3799
expertqa_810,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.28,0.0,0.0,158.0,1.0,1.0,0.0012
expertqa_1982,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2368,0.6742,0.25,132.0,1.0,1.0,0.0012
expertqa_55,chunk_packed_160,chunk,packed,0.0,0.0266,0.0,0.2073,1.0,0.1818,154.0,0.4545,0.0,0.2053
expertqa_378,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2308,1.0,0.3333,140.0,0.8333,0.0,0.0004
expertqa_493,chunk_packed_160,chunk,packed,0.0,0.0667,0.0,0.2647,0.3399,0.3333,153.0,1.0,1.0,0.0083
expertqa_150,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2078,0.0,0.0,154.0,0.0,0.0,0.9866
expertqa_883,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2652,1.0,0.4286,158.0,0.7143,0.0,0.0097
expertqa_1113,chunk_packed_160,chunk,packed,0.0,0.0297,0.0,0.3701,1.0,0.4,158.0,1.0,1.0,0.0011
expertqa_1631,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.184,0.4904,0.1429,157.0,0.1429,0.0,0.0266
expertqa_137,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1809,1.0,0.125,151.0,0.3125,0.0,0.0789
expertqa_648,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1316,0.0,0.0,146.0,1.0,1.0,0.0005
expertqa_42,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1233,0.0,0.0,142.0,0.0,0.0,0.0008
expertqa_1789,chunk_packed_160,chunk,packed,0.0,0.2013,0.0,0.2529,1.0,0.75,159.0,0.75,0.0,0.195
expertqa_200,chunk_packed_160,chunk,packed,0.0,0.0157,0.0,0.1898,1.0,0.2727,154.0,0.3636,0.0,0.5558
expertqa_767,chunk_packed_160,chunk,packed,0.0,0.0094,0.0,0.2462,1.0,0.2222,159.0,0.5556,0.0,0.0975
expertqa_552,chunk_packed_160,chunk,packed,0.0,0.0367,0.0,0.2152,0.8491,0.6667,159.0,1.0,1.0,0.0005
expertqa_1625,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2031,0.3623,0.25,138.0,0.75,0.0,0.0054
expertqa_1904,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2759,0.8291,0.6667,158.0,1.0,1.0,0.0024
expertqa_54,chunk_packed_160,chunk,packed,0.0,0.0167,0.0,0.2716,0.7848,0.4,158.0,0.8,0.0,0.0006
expertqa_382,chunk_packed_160,chunk,packed,0.0,0.0227,0.0,0.1905,1.0,0.6,151.0,1.0,1.0,0.0004
expertqa_954,chunk_packed_160,chunk,packed,0.0,0.0098,0.0,0.2955,1.0,1.0,157.0,1.0,1.0,0.0148
expertqa_1866,chunk_packed_160,chunk,packed,0.0,0.0126,0.0,0.1754,0.4667,0.25,150.0,0.375,0.0,0.683
expertqa_1232,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1,0.0,0.0,158.0,1.0,1.0,0.001
expertqa_379,chunk_packed_160,chunk,packed,0.0,0.0067,0.0,0.1491,0.4938,0.1818,160.0,0.1818,0.0,0.0008
expertqa_1374,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1296,0.0,0.0,157.0,0.6667,0.0,0.0019
expertqa_231,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6154,1.0,1.0,153.0,1.0,1.0,0.0013
expertqa_85,chunk_packed_160,chunk,packed,0.0,0.0667,0.0,0.119,0.0,0.0,154.0,1.0,1.0,0.0031
expertqa_1978,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1481,0.0,0.0,148.0,1.0,1.0,0.0006
expertqa_669,chunk_packed_160,chunk,packed,0.0,0.0215,0.0,0.2192,0.8345,0.4,145.0,0.4,0.0,0.0025
expertqa_987,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1694,1.0,0.2222,151.0,0.5556,0.0,0.9822
expertqa_927,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3723,0.9563,1.0,160.0,1.0,1.0,0.001
expertqa_1682,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2807,0.6282,0.3333,156.0,1.0,1.0,0.1075
expertqa_169,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3,0.0,0.0,146.0,1.0,1.0,0.0019
expertqa_606,chunk_packed_160,chunk,packed,0.0,0.0146,0.0,0.3093,0.6968,0.6667,155.0,1.0,1.0,0.0148
expertqa_1124,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1964,0.6118,0.75,152.0,1.0,1.0,0.0003
expertqa_554,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.4539,1.0,152.0,1.0,1.0,0.0004
expertqa_1394,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2683,1.0,0.4,156.0,1.0,1.0,0.007
expertqa_1611,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1739,0.4395,0.3333,157.0,1.0,1.0,0.0085
expertqa_1110,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2151,0.0,0.0,159.0,0.0,0.0,0.0046
expertqa_1015,chunk_packed_160,chunk,packed,0.0,0.0333,0.0,0.2727,1.0,0.25,151.0,0.625,0.0,0.0066
expertqa_487,chunk_packed_160,chunk,packed,0.0,0.0095,0.0,0.1587,0.0,0.0,142.0,0.0,0.0,0.6797
expertqa_941,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3472,0.4581,0.5,155.0,1.0,1.0,0.0012
expertqa_1160,chunk_packed_160,chunk,packed,0.0,0.0847,0.0,0.3765,1.0,0.6667,153.0,1.0,1.0,0.9217
expertqa_1568,chunk_packed_160,chunk,packed,0.0,0.0141,0.0,0.1949,1.0,1.0,158.0,1.0,1.0,0.0123
expertqa_1273,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.271,1.0,0.6667,156.0,1.0,1.0,0.0323
expertqa_65,chunk_packed_160,chunk,packed,0.0,0.0433,0.0,0.2036,1.0,0.375,159.0,0.5,0.0,0.05
expertqa_3,chunk_packed_160,chunk,packed,0.0,0.0072,0.0,0.1987,1.0,0.1818,158.0,0.4545,0.0,0.8031
expertqa_201,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2073,1.0,0.2,151.0,0.3333,0.0,0.6455
expertqa_938,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6429,1.0,0.6667,155.0,1.0,1.0,0.0113
expertqa_924,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2791,0.1761,0.3333,159.0,1.0,1.0,0.0004
expertqa_376,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3396,0.1709,0.25,158.0,0.5,0.0,0.0003
expertqa_2014,chunk_packed_160,chunk,packed,0.0,0.0079,0.0,0.1944,1.0,0.5,145.0,0.75,0.0,0.0122
expertqa_1569,chunk_packed_160,chunk,packed,0.0,0.0976,0.0,0.413,1.0,0.6667,149.0,1.0,1.0,0.0006
expertqa_1276,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4103,0.6582,0.75,158.0,1.0,1.0,0.0014
expertqa_1001,chunk_packed_160,chunk,packed,0.0,0.1739,0.0,0.4211,0.9062,0.75,160.0,1.0,1.0,0.0061
expertqa_1031,chunk_packed_160,chunk,packed,0.0,0.1014,0.0,0.1852,0.2105,0.5,152.0,1.0,1.0,0.0061
expertqa_1998,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2593,0.7055,0.25,146.0,0.25,0.0,0.0023
expertqa_1918,chunk_packed_160,chunk,packed,0.0,0.0221,0.0,0.2774,0.539,1.0,154.0,1.0,1.0,0.005
expertqa_1,chunk_packed_160,chunk,packed,0.0,0.055,0.0,0.3165,0.3469,0.3333,147.0,0.6667,0.0,0.0071
expertqa_926,chunk_packed_160,chunk,packed,0.0,0.0267,0.0,0.2812,0.3312,0.25,160.0,0.25,0.0,0.0008
expertqa_912,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1296,0.0,0.0,152.0,1.0,1.0,0.0004
expertqa_1105,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2321,0.1338,0.25,157.0,0.75,0.0,0.001
expertqa_1595,chunk_packed_160,chunk,packed,0.0,0.125,0.0,0.4688,1.0,0.6667,158.0,1.0,1.0,0.7821
expertqa_572,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3,1.0,0.6667,160.0,1.0,1.0,0.0015
expertqa_1193,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2211,0.5195,0.3333,154.0,1.0,1.0,0.0003
expertqa_738,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.225,0.526,0.2,154.0,0.2,0.0,0.0022
expertqa_61,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.102,0.0,0.0,156.0,0.0,0.0,0.007
expertqa_1382,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3523,0.675,0.6667,160.0,0.6667,0.0,0.0061
expertqa_1317,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1867,0.3375,0.25,160.0,0.25,0.0,0.0025
expertqa_31,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1437,0.0,0.0,158.0,0.0769,0.0,0.0042
expertqa_1813,chunk_packed_160,chunk,packed,0.0,0.2258,0.0,0.4186,0.9119,1.0,159.0,1.0,1.0,0.0005
expertqa_1435,chunk_packed_160,chunk,packed,0.0,0.2182,0.0,0.5946,0.4873,0.6667,158.0,1.0,1.0,0.0177
expertqa_943,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1739,0.5031,0.5,159.0,1.0,1.0,0.555
expertqa_8,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2407,0.0,0.0,160.0,1.0,1.0,0.0022
expertqa_873,chunk_packed_160,chunk,packed,0.0,0.0159,0.0,0.2556,1.0,0.4,140.0,0.6,0.0,0.0041
expertqa_1850,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4118,0.443,0.6667,149.0,1.0,1.0,0.0025
expertqa_705,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2603,0.6809,0.3333,141.0,1.0,1.0,0.0016
expertqa_1731,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1701,0.5563,0.3333,160.0,1.0,1.0,0.0064
expertqa_457,chunk_packed_160,chunk,packed,0.0,0.0101,0.0,0.2632,0.5646,0.6667,147.0,0.6667,0.0,0.0004
expertqa_636,chunk_packed_160,chunk,packed,0.0,0.0857,0.0,0.2353,0.0645,0.5,155.0,1.0,1.0,0.0013
expertqa_1197,chunk_packed_160,chunk,packed,0.0,0.0946,0.0,0.5,0.3857,1.0,140.0,1.0,1.0,0.0006
expertqa_614,chunk_packed_160,chunk,packed,0.0,0.101,0.0,0.1852,0.404,0.5,151.0,1.0,1.0,0.0009
expertqa_1830,chunk_packed_160,chunk,packed,0.0,0.0091,0.0,0.3566,1.0,0.5,160.0,1.0,1.0,0.0104
expertqa_354,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3286,0.6547,0.5,139.0,1.0,1.0,0.001
expertqa_595,chunk_packed_160,chunk,packed,0.0,0.0471,0.0,0.18,0.4375,0.1667,160.0,0.3333,0.0,0.0012
expertqa_63,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1818,0.0,0.0,143.0,0.5,0.0,0.4244
expertqa_1115,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2019,0.0,0.0,148.0,0.75,0.0,0.0004
expertqa_1041,chunk_packed_160,chunk,packed,0.0,0.0284,0.0,0.2029,1.0,0.4,137.0,1.0,1.0,0.9822
expertqa_442,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2462,0.0,0.0,140.0,1.0,1.0,0.0048
expertqa_1650,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1622,0.044,0.3333,159.0,1.0,1.0,0.0164
expertqa_1268,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2326,1.0,0.6667,157.0,1.0,1.0,0.0008
expertqa_865,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1579,0.5871,0.25,155.0,0.75,0.0,0.0003
expertqa_1968,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2526,1.0,0.2727,158.0,0.3636,0.0,0.023
expertqa_36,chunk_packed_160,chunk,packed,0.0,0.0294,0.0,0.2444,1.0,0.5,159.0,1.0,1.0,0.0006
expertqa_1510,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2377,1.0,0.375,158.0,0.625,0.0,0.617
expertqa_1241,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,1.0,0.6667,142.0,1.0,1.0,0.0013
expertqa_1913,chunk_packed_160,chunk,packed,0.0,0.3043,0.0,0.25,0.6226,0.6667,159.0,1.0,1.0,0.0072
expertqa_4,chunk_packed_160,chunk,packed,0.0,0.0415,0.0,0.3203,1.0,0.5,158.0,1.0,1.0,0.9743
expertqa_1414,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2316,0.5813,0.6667,160.0,1.0,1.0,0.0025
expertqa_882,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1121,0.0,0.0,153.0,1.0,1.0,0.0739
expertqa_855,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2833,0.6528,0.5,144.0,0.5,0.0,0.044
expertqa_270,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2963,0.6346,0.3333,156.0,1.0,1.0,0.0039
expertqa_114,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1691,0.6131,0.1667,137.0,0.5,0.0,0.0008
expertqa_95,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1333,0.0392,1.0,153.0,1.0,1.0,0.0002
expertqa_167,chunk_packed_160,chunk,packed,0.0,0.0351,0.0,0.2937,1.0,0.5,158.0,1.0,1.0,0.8202
expertqa_702,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1892,0.1187,0.3333,160.0,1.0,1.0,0.0003
expertqa_1641,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4737,0.707,1.0,157.0,1.0,1.0,0.0008
expertqa_783,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1222,0.0,0.0,146.0,1.0,1.0,0.0031
expertqa_1116,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2069,0.9125,0.6667,160.0,1.0,1.0,0.2225
expertqa_816,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3906,1.0,0.6667,158.0,1.0,1.0,0.0067
expertqa_1191,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2931,1.0,0.75,159.0,0.75,0.0,0.0025
expertqa_1581,chunk_packed_160,chunk,packed,0.0,0.0198,0.0,0.2131,1.0,0.2222,150.0,0.5556,0.0,0.0036
expertqa_1486,chunk_packed_160,chunk,packed,0.0,0.0517,0.0,0.3012,0.3484,0.2,155.0,0.6,0.0,0.0022
expertqa_1081,chunk_focused_160,chunk,focused,0.0,0.0571,0.0,0.381,0.4452,0.3333,155.0,1.0,1.0,0.9822
expertqa_393,chunk_focused_160,chunk,focused,0.0,0.0164,0.0,0.525,0.6471,0.5,153.0,1.0,1.0,0.0348
expertqa_1162,chunk_focused_160,chunk,focused,0.0,0.0494,0.0,0.3167,0.5556,0.3333,144.0,0.6667,0.0,0.0018
expertqa_1860,chunk_focused_160,chunk,focused,0.0,0.0,0.0,0.2319,0.475,0.5,160.0,0.5,0.0,0.1083
